##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	P1_R2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	101613
Total Bases	25.4 Mbp
Sequences flagged as poor quality	0
Sequence length	150-250
%GC	55
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
2104	155-159	-0.14980672830461828
2104	160-164	-0.13957949407750903
2104	165-169	-0.3713466853736733
2104	170-174	-0.3030171530947783
2104	175-179	-0.1753459004347988
2104	180-184	-0.3851361125808168
2104	185-189	-0.4595902592775971
2104	190-194	-0.21231331879728543
2104	195-199	-0.2809576438146877
2104	200-204	-0.19128204930387227
2104	205-209	-0.12546811933755464
2104	210-214	-0.4489863283077824
2104	215-219	-0.3442939154499811
2104	220-224	-0.40772902750030937
2104	225-229	-0.016262143901208503
2104	230-234	-0.4981136693110244
2104	235-239	-0.7865625846331454
2104	240-244	-0.6641323535388821
2104	245-249	-0.17005675592802305
2104	250	-1.5367459972579596
2105	1	-0.13335622490426857
2105	2	-0.04918316392774358
2105	3	-0.008968512893197556
2105	4	0.07536891224190612
2105	5	0.10760455439550043
2105	6	-0.08015040527271111
2105	7	-0.06295088140547023
2105	8	-0.1957418743999142
2105	9	0.0889715188446587
2105	10-14	-0.015571632672646274
2105	15-19	-0.005255630663619115
2105	20-24	-0.004738747544379862
2105	25-29	-0.06770776427080705
2105	30-34	0.03372996218470092
2105	35-39	-0.05347321179108633
2105	40-44	-0.19789344660016894
2105	45-49	-0.05632010756183092
2105	50-54	-0.18440243066591933
2105	55-59	0.008948690268169912
2105	60-64	0.02773891165598741
2105	65-69	-0.15782671848067054
2105	70-74	-0.16745591726903797
2105	75-79	-0.029267321949284053
2105	80-84	-0.09330944807503982
2105	85-89	-0.05870927959574601
2105	90-94	-0.07786387980176812
2105	95-99	-0.07737033851275044
2105	100-104	-0.17416190338991555
2105	105-109	-0.14204781400582078
2105	110-114	-0.1341777642743338
2105	115-119	-0.05861588688431851
2105	120-124	-0.14612895510146018
2105	125-129	-0.15419349888840372
2105	130-134	-0.3124517654003185
2105	135-139	-0.26250174123060077
2105	140-144	-0.03215261739168085
2105	145-149	-0.11363773502502994
2105	150-154	-0.18737547834417967
2105	155-159	-0.1602744766227815
2105	160-164	-0.08145048735016047
2105	165-169	-0.25061380052999027
2105	170-174	-0.24603100351028218
2105	175-179	-0.13473806505687236
2105	180-184	-0.31436919528757556
2105	185-189	-0.2594762901442422
2105	190-194	-0.2553809879702129
2105	195-199	-0.1508713755123523
2105	200-204	-0.21107785460660722
2105	205-209	-0.09568735162880415
2105	210-214	-0.462181421303427
2105	215-219	-0.47523495225251366
2105	220-224	-0.22625376038514844
2105	225-229	-0.33119140881105835
2105	230-234	-0.36374473727218515
2105	235-239	-0.832576454258664
2105	240-244	-0.8437883868259917
2105	245-249	-0.20080848963121412
2105	250	-1.3001158791078282
2106	1	-0.13625552471125246
2106	2	-0.18545025485592248
2106	3	-0.2689767504581084
2106	4	-0.2111852820515665
2106	5	-0.03612480121694972
2106	6	-0.07049953265615727
2106	7	-0.09904272217818288
2106	8	-0.08181312126034612
2106	9	-0.13038191307025215
2106	10-14	-0.07778463025790927
2106	15-19	-0.21433471936281023
2106	20-24	-0.16418893046677852
2106	25-29	-0.151978053312412
2106	30-34	-0.20530478903275906
2106	35-39	-0.15420893940228098
2106	40-44	-0.12500876443287723
2106	45-49	-0.13062617347851102
2106	50-54	-0.15833538334837982
2106	55-59	-0.08436192246129082
2106	60-64	-0.2589025039130135
2106	65-69	-0.17887935005960998
